filename,mjdtime,total_flux,e_total_flux,peak_flux,e_peak_flux
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:18.0.45GHz.G023.01-00.4.ITime.fits,60355.5870023,796.108791527108,239.33009545685,629.245164591503,113.458450463866
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:20.0.45GHz.G023.01-00.4.ITime.fits,60355.5870255,700.998759144079,240.28571479016,520.1668562077,108.842820090785
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:22.0.45GHz.G023.01-00.4.ITime.fits,60355.5870486,488.873502417978,221.519852110955,431.049345071167,105.500950459572
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:24.0.45GHz.G023.01-00.4.ITime.fits,60355.5870718,362.610848045108,166.654824837009,382.543816614175,95.9994856136031
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:28.0.45GHz.G023.01-00.4.ITime.fits,60355.5871181,371.802628012914,225.765760328692,348.657645606428,120.792001186304
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:30.0.45GHz.G023.01-00.4.ITime.fits,60355.5871412,397.296215834525,272.83506661222,231.875655660266,105.670674234994
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:05:38.0.45GHz.G023.01-00.4.ITime.fits,60355.5872338,244.486636620383,193.23583779973,214.949244335559,101.978253002098
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:32.0.45GHz.G023.01-00.4.ITime.fits,60355.6156366,747.352897370499,165.382733114061,908.630726990965,103.833725477229
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:34.0.45GHz.G023.01-00.4.ITime.fits,60355.6156597,1137.88481986487,202.78996439551,1211.86544320811,117.532120399654
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:36.0.45GHz.G023.01-00.4.ITime.fits,60355.6156829,1634.40432991515,236.548973504941,1549.88884863395,126.309399629379
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:38.0.45GHz.G023.01-00.4.ITime.fits,60355.615706,2071.52573758199,244.391131319292,2047.57656666423,133.526815317407
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:40.0.45GHz.G023.01-00.4.ITime.fits,60355.6157292,2453.77058417458,265.457987804947,2487.37882200579,148.063708567373
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:42.0.45GHz.G023.01-00.4.ITime.fits,60355.6157523,2664.99971353916,287.347754338344,2601.44572107281,155.246905707423
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:44.0.45GHz.G023.01-00.4.ITime.fits,60355.6157755,2720.82375469751,286.500564239031,2622.10269789466,152.429655452066
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:46.0.45GHz.G023.01-00.4.ITime.fits,60355.6157987,3023.68217213761,336.239823738345,2942.27388853838,180.409908208595
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:48.0.45GHz.G023.01-00.4.ITime.fits,60355.6158218,3078.86006830832,312.932710295369,3001.72131267951,169.318430518384
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:50.0.45GHz.G023.01-00.4.ITime.fits,60355.6158449,3466.24003179514,338.054163852694,3355.01088761218,181.995864067233
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:52.0.45GHz.G023.01-00.4.ITime.fits,60355.6158681,3899.34844723712,384.51393982284,3867.1492643426,210.917309767721
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:54.0.45GHz.G023.01-00.4.ITime.fits,60355.6158912,4216.43533235468,380.791061539051,4182.66261467419,208.757544363247
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:56.0.45GHz.G023.01-00.4.ITime.fits,60355.6159143,4437.80877463481,398.688599242695,4367.53242030586,217.06545372276
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:46:58.0.45GHz.G023.01-00.4.ITime.fits,60355.6159375,5191.65885194813,467.643135944875,5118.18445453331,255.18540860891
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:00.0.45GHz.G023.01-00.4.ITime.fits,60355.6159607,5380.93067839996,464.225720379437,5294.08779795907,253.607964593317
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:02.0.45GHz.G023.01-00.4.ITime.fits,60355.6159838,5643.48725598195,484.088959936264,5545.11659008014,263.943186309414
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:04.0.45GHz.G023.01-00.4.ITime.fits,60355.616007,5925.98091311419,497.965742055226,5868.47864780057,272.172828890129
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:06.0.45GHz.G023.01-00.4.ITime.fits,60355.6160301,6511.38710020532,540.006637572287,6405.92819583302,293.722244417633
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:08.0.45GHz.G023.01-00.4.ITime.fits,60355.6160533,6712.25271102962,602.000697552065,6768.9716314143,332.325054475041
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:10.0.45GHz.G023.01-00.4.ITime.fits,60355.6160764,6855.9908679739,564.20172295567,6976.09176067283,313.051815889426
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:12.0.45GHz.G023.01-00.4.ITime.fits,60355.6160995,7623.21083021538,619.441132845338,7529.23791328842,337.485215268614
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:14.0.45GHz.G023.01-00.4.ITime.fits,60355.6161227,7643.22670330456,639.103343211601,7553.530662227,347.549565891256
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:16.0.45GHz.G023.01-00.4.ITime.fits,60355.6161458,7788.7366572902,639.966883766843,7646.01889557147,346.413749761347
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:18.0.45GHz.G023.01-00.4.ITime.fits,60355.616169,8174.61571270383,671.386209955886,8114.18770336241,366.339044408622
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:20.0.45GHz.G023.01-00.4.ITime.fits,60355.6161922,8301.73608697897,684.080035463828,8233.56385379385,373.57140784643
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:22.0.45GHz.G023.01-00.4.ITime.fits,60355.6162153,8378.07556631085,677.378883538796,8170.82759785748,365.925305207131
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:24.0.45GHz.G023.01-00.4.ITime.fits,60355.6162384,8518.13878001281,684.801784190347,8330.33817042789,370.243830074467
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:26.0.45GHz.G023.01-00.4.ITime.fits,60355.6162616,8492.23177929944,689.4626280341,8521.27915013127,377.293582972409
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:28.0.45GHz.G023.01-00.4.ITime.fits,60355.6162847,9145.45522444186,734.022057631354,9123.96156702532,400.360225660231
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:30.0.45GHz.G023.01-00.4.ITime.fits,60355.6163079,9157.87677761508,736.525549238409,9233.91975417052,405.681165948758
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:32.0.45GHz.G023.01-00.4.ITime.fits,60355.616331,8655.63471993869,709.212655945311,8776.71527603909,391.898278324572
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:34.0.45GHz.G023.01-00.4.ITime.fits,60355.6163542,8612.11030033719,707.130906228687,8438.33311793561,381.716379732097
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:36.0.45GHz.G023.01-00.4.ITime.fits,60355.6163774,9013.97017120263,741.546217667751,8898.08642145201,402.990893893417
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:38.0.45GHz.G023.01-00.4.ITime.fits,60355.6164005,9664.40952976074,782.504688863986,8912.40017248837,407.335924507397
