#,Gl,Gb,DM,DIST,
216,236.613,-38.535,19.78,1.342,
217,184.125,-17.137,30.30,0.521,
218,160.706,1.243,20.83,0.765,
219,152.617,7.547,14.60,1.180,
220,281.290,-35.187,94.70,49.700,
221,280.457,-35.334,103.00,49.700,
222,282.049,-34.966,100.30,49.700,
223,178.305,-12.005,59.00,1.517,
224,273.816,-36.701,27.50,1.333,
225,281.143,-35.113,91.00,49.700,
226,204.139,-27.348,47.81,1.938,
227,278.670,-35.518,97.00,49.700,
228,201.444,-25.678,21.02,0.160,
229,161.547,1.949,,2.000,
230,160.363,3.077,42.20,2.700,
231,276.869,-35.504,68.90,49.700,
232,157.896,5.803,43.40,1.383,
233,192.486,-17.931,38.33,0.817,
234,168.605,-1.562,30.00,0.930,
235,168.275,-1.187,69.08,1.562,
236,275.250,-34.827,25.66,0.818,
237,244.514,-35.036,52.14,11.950,
238,244.513,-35.036,52.08,11.950,
239,244.514,-35.036,52.05,11.950,
240,244.513,-35.036,52.22,11.950,
241,245.018,-32.364,51.93,11.950,
242,244.513,-35.036,51.62,11.950,
243,244.513,-35.036,50.96,11.950,
244,244.513,-35.037,52.23,11.950,
245,244.513,-35.036,52.58,11.950,
246,244.513,-35.036,52.02,11.950,
247,244.513,-35.036,51.93,11.950,
248,244.513,-35.036,51.24,11.950,
249,244.513,-35.036,51.68,11.950,
250,244.513,-35.036,51.07,11.950,
251,249.515,-35.365,15.12,0.966,
252,182.176,-9.012,18.30,0.158,
253,180.376,-7.530,73.76,1.598,
254,158.262,7.903,39.24,1.337,
255,155.916,9.557,42.30,1.434,
256,164.464,3.754,52.00,1.421,
257,280.287,-33.254,118.86,49.700,
258,228.434,-30.543,33.77,2.379,
259,279.124,-33.262,136.00,49.700,
260,279.348,-33.168,126.45,49.700,
261,282.415,-32.547,157.50,49.700,
262,192.695,-13.246,79.42,1.841,
263,276.087,-33.246,,,
264,183.856,-6.896,50.87,1.215,
265,210.065,-21.582,87.30,7.001,
266,276.975,-32.763,103.31,49.700,
267,243.633,-31.771,,,
268,243.875,-31.843,48.50,25.000,
269,276.675,-32.481,69.20,49.700,
270,280.333,-32.163,124.00,49.700,
271,200.085,-15.326,83.70,2.172,
272,144.780,18.183,57.37,2.392,
273,251.461,-32.264,18.93,1.239,
274,184.557,-5.784,56.77,2.000,
275,174.353,0.746,24.50,0.403,
276,216.227,-22.957,74.30,6.226,
277,277.129,-32.279,95.30,49.700,
278,276.884,-32.197,75.00,49.700,
279,280.076,-31.936,93.70,49.700,
280,287.161,-30.821,18.58,0.143,
281,279.768,-31.730,273.00,49.700,
282,279.559,-31.745,,49.700,
283,179.719,-1.686,39.57,1.300,
284,176.719,0.761,61.97,1.421,
285,165.073,7.827,56.12,1.512,
286,279.717,-31.516,147.20,49.700,
287,282.148,-31.236,29.41,0.547,
288,278.449,-31.406,114.00,49.700,
289,184.363,-3.318,77.70,1.565,
290,279.125,-31.235,134.90,49.700,
291,186.756,-4.495,56.90,1.283,
292,208.094,-16.213,67.20,2.062,
293,183.728,-2.045,73.81,1.517,
294,197.055,-8.774,86.60,1.804,
295,170.124,7.701,38.00,1.150,
296,170.236,7.615,37.90,1.144,
297,179.058,2.697,,2.000,
298,171.610,7.192,37.00,1.090,
299,281.460,-30.119,72.90,49.700,
300,277.454,-30.150,71.00,47.489,
301,192.684,-4.309,102.57,1.834,
302,235.470,-23.989,49.03,4.268,
303,266.492,-29.343,30.00,0.553,
304,212.199,-13.481,80.54,2.060,
305,174.193,8.022,20.95,0.215,
306,207.445,-9.171,48.50,1.311,
307,193.366,-1.569,85.60,1.646,
308,189.192,1.040,38.73,0.574,
309,227.746,-18.184,60.67,1.389,
310,204.655,-7.012,69.90,1.662,
311,195.378,-2.004,43.99,0.807,
312,181.624,5.496,45.26,1.080,
313,175.450,9.093,27.15,0.534,
314,175.442,9.080,39.27,1.083,
315,175.336,9.239,18.99,0.186,
316,210.413,-9.305,38.78,0.780,
317,188.795,2.394,96.91,3.500,
318,130.353,25.833,44.20,3.699,
319,240.501,-21.827,37.05,0.667,
320,206.246,-5.058,72.60,1.702,
321,200.570,-2.013,36.55,1.351,
322,187.120,5.073,83.63,1.100,
323,264.804,-26.411,22.00,0.380,
324,175.877,10.958,,,
325,206.497,-4.459,54.00,1.375,
326,213.792,-8.036,70.83,1.938,
327,200.878,-0.956,78.00,1.637,
328,204.166,-2.085,86.60,1.794,
329,203.902,-1.991,138.25,2.289,
330,195.793,2.124,113.00,1.932,
331,202.190,-0.851,87.90,1.767,
332,188.817,6.223,84.18,2.900,
333,193.071,4.303,48.10,0.982,
334,211.220,-5.020,97.30,2.103,
335,236.952,-16.758,34.42,0.320,
336,204.678,-1.238,195.20,4.583,
337,201.219,0.450,125.30,2.104,
338,205.093,-0.932,,1.355,
339,195.134,4.266,2.89,0.190,
340,229.260,-12.968,90.70,3.676,
341,206.151,-1.043,,,
342,163.909,18.643,11.11,0.714,
343,232.113,-13.492,59.12,2.815,
344,239.526,-16.416,15.46,0.233,
345,254.547,-21.547,26.31,0.383,
346,208.218,-1.443,152.00,2.542,
347,204.882,1.252,52.00,1.257,
348,163.963,20.251,18.25,1.220,
349,133.945,26.465,49.70,5.145,
350,204.271,3.051,147.85,2.504,
351,264.400,-22.600,40.10,0.367,
352,204.233,3.277,157.50,2.742,
353,237.001,-12.645,132.50,9.987,
354,214.538,-0.613,116.30,2.318,
355,169.259,19.783,25.50,0.911,
356,133.178,26.828,33.32,2.348,
357,218.690,-2.507,83.70,2.140,
358,233.655,-8.982,32.39,1.623,
359,264.795,-21.141,67.50,0.372,
360,213.374,1.688,115.60,2.301,
361,186.671,14.275,39.00,0.815,
362,201.108,8.258,13.90,0.286,
363,246.437,-14.139,83.40,3.916,
364,151.551,25.237,8.77,0.413,
365,260.190,-18.723,98.70,0.538,
366,210.498,6.200,44.27,1.203,
367,270.029,-20.899,65.00,0.371,
368,206.674,8.776,46.24,1.168,
369,279.531,-23.280,18.41,0.106,
370,238.934,-5.826,253.89,9.810,
371,244.158,-8.165,,0.400,
372,234.669,-2.922,76.01,2.680,
373,234.992,-2.733,130.00,3.265,
374,231.473,-0.330,98.98,2.777,
375,240.079,-4.644,69.40,2.900,
376,230.392,1.424,91.89,2.681,
377,233.760,-0.341,61.29,2.000,
378,195.931,19.035,44.67,1.151,
379,238.713,-2.030,190.20,4.122,
380,204.331,16.059,50.00,1.416,
381,232.062,2.016,,,
382,274.881,-19.153,19.40,0.103,
383,237.685,-0.318,95.59,3.059,
384,245.236,-4.505,48.92,1.100,
385,245.236,-4.505,48.92,1.100,
386,146.593,29.377,17.22,1.124,
387,254.193,-9.192,160.49,1.600,
388,149.730,29.599,14.96,1.150,
389,202.768,18.438,44.30,1.207,
390,178.128,26.575,20.81,0.523,
391,175.536,27.214,36.26,1.610,
392,243.773,-2.444,73.73,2.000,
393,241.334,-0.743,,,
394,266.660,-14.283,121.38,0.565,
395,259.203,-10.103,134.57,0.810,
396,149.218,30.283,27.58,1.864,
397,160.152,30.310,,,
398,257.066,-8.349,104.59,0.560,
399,160.557,30.327,26.70,1.604,
400,281.056,-20.048,54.60,0.338,
401,202.730,21.086,30.24,1.100,
402,227.607,9.771,38.00,1.718,
403,188.187,26.721,39.99,1.464,
404,234.464,7.224,63.33,2.710,
405,246.856,-0.417,86.50,0.444,
406,246.936,-0.361,,,
407,269.950,-13.239,,,
408,186.778,28.890,34.00,1.305,
409,230.070,11.196,21.10,0.818,
410,253.331,-2.872,186.80,2.916,
411,213.920,20.334,46.00,1.848,
412,257.426,-4.983,,,
413,268.727,-11.594,165.03,0.887,
414,256.134,-3.759,169.10,2.884,
415,263.301,-7.957,228.30,6.488,
416,183.676,31.217,14.90,0.263,
417,256.111,-2.811,329.60,5.860,
418,200.909,27.480,52.29,2.449,
419,139.998,31.618,5.75,0.432,
420,213.626,22.950,52.66,2.491,
421,173.626,33.453,11.20,0.353,
422,249.983,2.908,118.90,0.422,
423,251.358,1.875,131.80,0.484,
424,235.890,12.595,40.94,1.900,
425,256.523,-1.032,195.50,4.084,
426,257.261,-1.583,179.40,3.576,
427,258.749,-2.734,113.40,0.571,
428,259.825,-3.137,270.60,5.802,
429,260.382,-3.473,,2.200,
430,221.988,21.245,23.73,2.700,
431,223.577,20.789,34.55,1.689,
432,196.964,31.743,19.48,0.500,
433,165.470,35.647,23.10,1.571,
434,253.965,2.561,51.60,0.354,
435,262.285,-2.694,254.00,5.883,
436,260.886,-1.036,240.50,5.508,
437,276.075,-11.924,20.00,0.095,
438,257.076,1.990,112.40,0.555,
439,263.552,-2.787,67.77,0.280,
440,261.537,-1.107,180.00,3.609,
441,219.721,26.272,12.86,0.190,
442,247.575,9.775,143.10,25.000,
443,260.904,-0.336,147.20,1.500,
444,248.807,8.981,116.90,4.101,
445,250.589,7.819,80.66,0.413,
446,259.606,0.928,219.00,5.095,
447,281.441,-14.927,83.00,0.448,
448,270.774,-7.143,156.50,0.566,
449,267.182,-4.101,196.85,3.103,
450,219.400,28.223,36.60,2.068,
451,147.800,35.600,20.70,1.579,
452,268.496,-4.898,178.47,1.573,
453,257.190,4.710,94.16,0.536,
454,263.444,0.158,292.50,6.547,
455,210.060,33.305,38.00,2.283,
456,132.654,31.462,34.81,3.303,
457,279.433,-12.171,91.29,0.383,
458,266.779,-1.349,304.00,6.919,
459,162.782,39.408,18.84,1.436,
460,256.847,7.517,86.64,0.503,
461,266.967,-1.004,236.40,5.638,
462,267.116,-1.193,472.70,13.740,
463,278.575,-10.427,95.00,0.370,
464,190.141,39.736,24.00,1.567,
465,265.457,0.822,184.43,2.833,
466,256.162,9.486,75.69,0.900,
467,263.140,3.700,52.00,0.327,
468,267.404,-0.004,199.30,3.032,
469,280.390,-11.082,72.72,0.192,
470,265.074,2.859,145.80,0.675,
471,289.738,-18.320,51.10,1.048,
472,267.239,1.011,196.20,2.912,
473,271.633,-2.854,196.43,1.330,
474,278.222,-8.816,91.40,0.359,
475,272.151,-3.031,103.72,0.341,
476,246.119,19.850,15.88,0.805,
477,270.265,-1.019,180.44,1.000,
478,287.728,-16.256,54.30,0.752,
479,135.325,33.704,,,
480,265.839,3.845,162.20,1.404,
481,263.165,6.584,71.50,0.346,
482,273.637,-2.563,162.60,0.539,
483,267.735,3.573,123.80,0.556,
484,266.285,5.274,57.80,0.329,
485,279.687,-7.774,82.50,0.355,
486,151.431,40.725,13.15,1.003,
487,273.776,-1.447,122.40,0.355,
488,225.420,36.392,27.30,1.100,
489,269.250,3.173,113.93,0.534,
490,272.237,0.160,237.10,2.698,
491,259.697,13.003,72.00,0.382,
492,274.712,-1.930,152.90,0.513,
493,278.394,-5.595,57.40,0.107,
494,153.506,41.833,21.64,1.976,
495,205.286,44.202,17.24,1.091,
496,274.811,-1.360,296.00,3.314,
497,226.854,37.601,49.80,25.000,
498,195.838,45.915,21.95,2.037,
499,250.760,23.019,33.00,2.477,
500,253.932,20.138,78.30,25.000,
501,250.999,23.054,41.49,3.722,
502,261.277,14.069,102.10,0.414,
503,275.885,-1.375,118.56,0.359,
504,271.059,4.207,123.00,0.518,
505,268.361,7.411,113.79,0.530,
506,275.690,-0.700,100.00,0.349,
507,192.376,47.511,18.35,1.728,
508,272.605,3.230,113.00,0.355,
509,277.510,-1.292,134.55,0.377,
510,267.795,9.904,78.00,0.356,
511,276.446,0.092,157.94,0.397,
512,278.569,-2.232,180.16,0.300,
513,279.345,-2.990,159.74,0.406,
514,216.609,45.380,20.34,1.487,
515,207.887,47.458,27.25,3.554,
516,276.842,-0.033,174.00,0.444,
517,180.437,49.375,21.40,2.670,
518,249.129,28.843,12.50,0.686,
519,274.199,3.674,98.10,0.352,
520,225.413,43.126,15.32,0.892,
521,201.142,49.384,29.09,25.000,
522,279.168,-1.646,178.00,0.416,
523,287.826,-11.702,93.00,1.678,
524,289.469,-13.321,77.00,1.516,
525,243.652,35.380,22.41,7.600,
526,268.702,12.033,162.88,0.523,
527,228.908,43.697,2.97,0.261,
528,278.998,-0.101,201.57,0.433,
529,281.197,-2.696,307.35,2.453,
530,269.930,11.540,130.71,0.488,
531,278.264,1.159,156.90,0.401,
532,283.685,-5.737,160.90,2.173,
533,244.762,36.201,26.95,2.461,
534,244.830,36.199,27.30,2.525,
535,279.448,0.227,226.10,0.449,
536,275.742,5.418,92.70,0.361,
537,229.732,45.498,21.00,1.741,
538,278.107,2.603,72.80,0.127,
539,280.226,0.084,130.32,0.300,
540,280.691,-0.648,159.30,0.432,
541,280.726,-0.708,235.30,0.784,
542,282.945,-3.548,113.00,1.240,
543,280.901,-0.503,426.00,3.270,
544,282.829,-3.224,347.00,3.171,
545,179.832,52.973,30.00,25.000,
546,276.037,6.117,98.49,0.369,
